H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.4,fbm,500,500,1.0,1.0,both,,0.848157,7.65495
0.71,mixed_fbm,250,125,1.0,0.008,both,0.036319,0.109635,0.375281
0.98,mixed_fbm,250,125,0.2,0.008,both,2.6e-05,0.005035,0.005575
0.41,fbm,500,500,1.0,1.0,both,,0.664069,6.087792
0.42,fbm,500,500,1.0,1.0,both,,0.507848,4.724001
0.09,mixed_fbm,500,250,0.2,0.004,both,23.018837,16.373323,46.535254
0.72,mixed_fbm,250,125,1.0,0.008,both,0.034656,0.112208,0.373881
0.43,fbm,500,500,1.0,1.0,both,,0.37682,3.553054
0.73,mixed_fbm,250,125,1.0,0.008,both,0.03301,0.114439,0.370766
0.44,fbm,500,500,1.0,1.0,both,,0.268637,2.56509
0.45,fbm,500,500,1.0,1.0,both,,0.18124,1.750858
0.74,mixed_fbm,250,125,1.0,0.008,both,0.031404,0.116349,0.366119
0.46,fbm,500,500,1.0,1.0,both,,0.112822,1.101681
0.75,mixed_fbm,250,125,1.0,0.008,both,0.029851,0.117959,0.360119
0.47,fbm,500,500,1.0,1.0,both,,0.061798,0.609418
0.48,fbm,500,500,1.0,1.0,both,,0.026775,0.266428
0.49,fbm,500,500,1.0,1.0,both,,0.006532,0.065535
0.5,fbm,500,500,1.0,1.0,both,,0.0,0.0
0.76,mixed_fbm,250,125,1.0,0.008,both,0.028364,0.119293,0.35294
0.51,fbm,500,500,1.0,1.0,both,,0.00624,0.063489
0.52,fbm,500,500,1.0,1.0,both,,0.024431,0.250051
0.77,mixed_fbm,250,125,1.0,0.008,both,0.026951,0.120371,0.344746
0.1,mixed_fbm,500,250,0.2,0.004,both,20.087787,14.098437,41.772901
0.53,fbm,500,500,1.0,1.0,both,,0.053854,0.554085
0.78,mixed_fbm,250,125,1.0,0.008,both,0.025615,0.121214,0.335693
0.54,fbm,500,500,1.0,1.0,both,,0.093882,0.970327
0.03,fbm,750,750,1.0,1.0,both,,313.335826,785.454687
0.55,fbm,500,500,1.0,1.0,both,,0.143966,1.49382
0.79,mixed_fbm,250,125,1.0,0.008,both,0.024359,0.121843,0.325928
0.56,fbm,500,500,1.0,1.0,both,,0.203627,2.119895
0.8,mixed_fbm,250,125,1.0,0.008,both,0.023183,0.122276,0.315587
0.57,fbm,500,500,1.0,1.0,both,,0.272448,2.844156
0.81,mixed_fbm,250,125,1.0,0.008,both,0.022085,0.122533,0.304793
0.58,fbm,500,500,1.0,1.0,both,,0.350064,3.662458
