H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.05,mixed_fbm,250,125,1.0,0.008,both,56.958194,31.808388,
0.63,fbm,750,750,1.0,1.0,both,,,13.550392
0.36,fbm,1250,1250,1.0,1.0,both,,,41.044131
0.24,fbm,1500,1500,1.0,1.0,both,,,225.285333
0.47,fbm,1000,1000,1.0,1.0,both,,,1.224139
0.64,fbm,750,750,1.0,1.0,both,,,15.509741
0.37,fbm,1250,1250,1.0,1.0,both,,,34.67044
0.48,fbm,1000,1000,1.0,1.0,both,,,0.534946
0.25,fbm,1500,1500,1.0,1.0,both,,,202.973395
0.65,fbm,750,750,1.0,1.0,both,,,17.57494
0.03,mixed_fbm,500,250,0.2,0.004,both,47.635571,39.775468,
0.49,fbm,1000,1000,1.0,1.0,both,,,0.131532
0.38,fbm,1250,1250,1.0,1.0,both,,,28.951375
0.66,fbm,750,750,1.0,1.0,both,,,19.742035
0.01,mixed_fbm,750,375,0.2,0.002667,both,110.882736,91.916773,
0.06,mixed_fbm,250,125,0.2,0.008,both,10.381592,10.58832,
0.26,fbm,1500,1500,1.0,1.0,both,,,182.375843
0.5,fbm,1000,1000,1.0,1.0,both,,,-0.0
0.39,fbm,1250,1250,1.0,1.0,both,,,23.849493
0.67,fbm,750,750,1.0,1.0,both,,,22.007283
0.51,fbm,1000,1000,1.0,1.0,both,,,0.127332
0.68,fbm,750,750,1.0,1.0,both,,,24.367141
0.69,fbm,750,750,1.0,1.0,both,,,26.818252
0.7,fbm,750,750,1.0,1.0,both,,,29.357434
0.52,fbm,1000,1000,1.0,1.0,both,,,0.501321
0.4,fbm,1250,1250,1.0,1.0,both,,,19.329945
0.27,fbm,1500,1500,1.0,1.0,both,,,163.377757
0.71,fbm,750,750,1.0,1.0,both,,,31.981672
0.07,mixed_fbm,250,125,0.2,0.008,both,9.117474,9.227795,
0.41,fbm,1250,1250,1.0,1.0,both,,,15.360272
0.53,fbm,1000,1000,1.0,1.0,both,,,1.110518
0.72,fbm,750,750,1.0,1.0,both,,,34.688103
0.54,fbm,1000,1000,1.0,1.0,both,,,1.944176
0.73,fbm,750,750,1.0,1.0,both,,,37.474015
0.42,fbm,1250,1250,1.0,1.0,both,,,11.910234
0.28,fbm,1500,1500,1.0,1.0,both,,,145.873455
0.74,fbm,750,750,1.0,1.0,both,,,40.336831
0.55,fbm,1000,1000,1.0,1.0,both,,,2.992202
0.75,fbm,750,750,1.0,1.0,both,,,43.274109
0.43,fbm,1250,1250,1.0,1.0,both,,,8.951644
0.56,fbm,1000,1000,1.0,1.0,both,,,4.245108
0.03,mixed_fbm,250,125,10.0,0.008,both,104.18789,51.801612,
0.76,fbm,750,750,1.0,1.0,both,,,46.283528
0.06,mixed_fbm,250,125,1.0,0.008,both,52.413887,28.398177,
0.29,fbm,1500,1500,1.0,1.0,both,,,129.765545
0.77,fbm,750,750,1.0,1.0,both,,,49.36289
0.57,fbm,1000,1000,1.0,1.0,both,,,5.693975
0.08,mixed_fbm,250,125,0.2,0.008,both,7.972203,8.032756,
0.44,fbm,1250,1250,1.0,1.0,both,,,6.458213
0.78,fbm,750,750,1.0,1.0,both,,,52.510109
0.79,fbm,750,750,1.0,1.0,both,,,55.723209
0.58,fbm,1000,1000,1.0,1.0,both,,,7.330406
0.45,fbm,1250,1250,1.0,1.0,both,,,4.405412
0.03,mixed_fbm,250,125,5.0,0.008,both,101.195343,51.20339,
0.3,fbm,1500,1500,1.0,1.0,both,,,114.964132
0.59,fbm,1000,1000,1.0,1.0,both,,,9.146499
0.46,fbm,1250,1250,1.0,1.0,both,,,2.770343
0.6,fbm,1000,1000,1.0,1.0,both,,,11.134803
0.04,mixed_fbm,500,250,0.2,0.004,both,42.575388,34.232489,
0.31,fbm,1500,1500,1.0,1.0,both,,,101.38612
0.61,fbm,1000,1000,1.0,1.0,both,,,13.288298
0.09,mixed_fbm,250,125,0.2,0.008,both,6.938552,6.982205,
0.47,fbm,1250,1250,1.0,1.0,both,,,1.531618
0.62,fbm,1000,1000,1.0,1.0,both,,,15.600356
0.07,mixed_fbm,250,125,1.0,0.008,both,48.257786,25.403992,
0.32,fbm,1500,1500,1.0,1.0,both,,,88.95462
0.63,fbm,1000,1000,1.0,1.0,both,,,18.064723
0.48,fbm,1250,1250,1.0,1.0,both,,,0.669247
0.64,fbm,1000,1000,1.0,1.0,both,,,20.675489
0.33,fbm,1500,1500,1.0,1.0,both,,,77.598418
0.65,fbm,1000,1000,1.0,1.0,both,,,23.42707
0.49,fbm,1250,1250,1.0,1.0,both,,,0.164538
0.1,mixed_fbm,250,125,0.2,0.008,both,6.009573,6.058583,
0.66,fbm,1000,1000,1.0,1.0,both,,,26.314181
0.5,fbm,1250,1250,1.0,1.0,both,,,0.0
0.67,fbm,1000,1000,1.0,1.0,both,,,29.331823
0.34,fbm,1500,1500,1.0,1.0,both,,,67.251505
